,danceability,energy,duration_ms,loudness,speechiness,instrumentalness,liveness,valence,tempo,acousticness
253,0.717,0.708,189413,-4.395,0.19,0.00101,0.106,0.518,180.001,0.511
254,0.776,0.78,204347,-4.374,0.128,0.0,0.081,0.666,124.949,0.0622
255,0.679,0.633,187353,-6.865,0.0317,0.0,0.103,0.709,109.736,0.517
256,0.73,0.729,221820,-3.434,0.0884,1.39e-06,0.349,0.467,113.011,0.167
257,0.684,0.808,174027,-2.737,0.061,1.02e-05,0.0858,0.712,173.905,0.0518
258,0.878,0.713,202373,-4.566,0.0948,0.0,0.0822,0.615,92.028,0.0581
259,0.626,0.47,176347,-2.984,0.0316,0.0,0.201,0.825,140.046,0.522
260,0.808,0.897,231041,-3.712,0.0348,3.14e-05,0.364,0.591,126.026,0.0469
261,0.38,0.339,229227,-7.885,0.0338,0.0,0.12,0.0849,100.607,0.691
262,0.788,0.526,220301,-8.082,0.071,0.0,0.285,0.584,89.012,0.524
263,0.611,0.66,267797,-6.49,0.381,0.0,0.0636,0.582,137.668,0.734
264,0.863,0.666,178947,-4.158,0.152,0.000493,0.103,0.838,163.908,0.212
265,0.755,0.557,203200,-5.982,0.0302,0.0,0.104,0.743,130.03,0.691
266,0.591,0.764,141806,-5.484,0.0483,0.0,0.103,0.478,169.928,0.0383
267,0.505,0.421,192960,-8.095,0.0344,0.0,0.291,0.609,88.455,0.319
268,0.656,0.507,189067,-4.192,0.0286,0.0,0.118,0.823,90.016,0.538
269,0.542,0.489,163224,-7.89,0.0573,0.0,0.123,0.674,125.336,0.378
270,0.553,0.819,192348,-3.083,0.257,1.36e-05,0.0915,0.761,87.913,0.368
271,0.79,0.688,146840,-5.476,0.0319,0.0,0.111,0.816,97.486,0.0994
272,0.729,0.513,192353,-6.345,0.0455,1.1e-06,0.137,0.789,170.064,0.494
273,0.735,0.524,156792,-6.656,0.0684,0.0,0.066,0.813,94.642,0.535
274,0.83,0.748,177443,-5.362,0.162,0.0,0.0992,0.523,133.028,0.354
275,0.585,0.436,242014,-8.761,0.0601,1.31e-05,0.105,0.132,143.874,0.721
276,0.564,0.635,199614,-7.635,0.057,0.0,0.662,0.46,140.032,0.46
277,0.85,0.536,210607,-5.161,0.0599,3.89e-05,0.0996,0.505,96.029,0.267
278,0.546,0.438,238677,-4.748,0.0669,0.0,0.261,0.568,112.136,0.353
279,0.755,0.596,183947,-7.849,0.0402,0.0,0.0508,0.806,96.487,0.282
280,0.57,0.455,151429,-5.748,0.0996,0.000746,0.0654,0.399,167.933,0.441
281,0.684,0.58,218045,-7.682,0.133,0.0,0.135,0.233,89.954,0.672
282,0.589,0.49,233547,-5.291,0.0302,0.0,0.118,0.604,160.179,0.393
283,0.803,0.788,203947,-4.616,0.253,0.0,0.362,0.778,106.013,0.062
284,0.627,0.522,225705,-5.08,0.0279,0.0,0.108,0.8,86.015,0.394
285,0.824,0.837,289933,-4.603,0.107,1.66e-05,0.271,0.58,100.021,0.573
286,0.816,0.71,208631,-3.728,0.0398,0.0,0.292,0.784,93.02,0.165
287,0.685,0.848,163084,-4.561,0.0858,7.14e-06,0.0783,0.761,179.87,0.0861
288,0.86,0.758,172127,-5.16,0.0695,6.54e-05,0.344,0.453,97.014,0.021
